,pole_267462S.analysis_height,pole_267462S.shear_force,pole_267462S.bending_moment,pole_267462S.pole_deflection,pole_267462S.stress,pole_280565E.analysis_height,pole_280565E.shear_force,pole_280565E.bending_moment,pole_280565E.pole_deflection,pole_280565E.stress,pole_306771E.analysis_height,pole_306771E.shear_force,pole_306771E.bending_moment,pole_306771E.pole_deflection,pole_306771E.stress,pole_311032S.analysis_height,pole_311032S.shear_force,pole_311032S.bending_moment,pole_311032S.pole_deflection,pole_311032S.stress,pole_312148E.analysis_height,pole_312148E.shear_force,pole_312148E.bending_moment,pole_312148E.pole_deflection,pole_312148E.stress
0,0.0,465.66787127096444,17266.657772740116,0.0,32.27538633477934,0.0,308.672839000716,17548.4608709572,0.0,17.454676048494093,0.0,353.43358013104,17436.60385616494,0.0,16.396878649018635,0.0,294.1145986033341,17549.90243735802,0.0,13.934620784754104,0.0,368.48257145119686,17403.167867678083,0.0,16.36543641116937
1,0.345,470.47402630840276,17050.52713993517,0.000134685501725332,32.248934938895474,0.425,315.9749208517976,17277.479806939427,8.985530792592244e-05,17.44926963584542,0.385,360.1730091406372,17192.26932589765,6.805884361493235e-05,16.420115643971425,0.415,301.79963025722486,17284.769202356492,6.355123611318027e-05,13.950031997437522,0.37329999999999997,375.01719183894403,17166.647893698137,6.387601973325347e-05,16.395644943117148
2,0.69,475.2613150716109,16834.782973018748,0.000539159285238697,32.21956263924917,0.85,323.23987765971503,17007.150943734126,0.0003598505852243678,17.441602095668983,0.77,366.8775549481672,16948.476103646903,0.0002726866326747045,16.44191776988526,0.83,309.44283488588206,17020.28417548733,0.00025462329527584364,13.963953789455159,0.7465999999999999,381.51798911154384,16930.636979787752,0.000255955483664888,16.424611824159804
3,1.035,480.02973756058907,16619.43353880042,0.001214246254824994,32.1872003951535,1.275,330.4677094244683,16737.488951084455,0.0008108364824083688,17.4316002655734,1.155,373.5472175536297,16705.234682814837,0.0006147841766296308,16.462229918052373,1.2449999999999999,317.0442124893057,16756.460384028476,0.0005740501583932821,13.976328206737579,1.1199,387.98496326899607,16695.144595315127,0.0005771406744809095,16.452286607259833
4,1.38,484.7792937753372,16404.487594052902,0.0021607511248654373,32.15177844795646,1.7,337.65841614605733,16468.50963705347,0.0014436465341988356,17.4191897934575,1.54,380.1819969570248,16462.5563189893,0.001095248304844227,16.480995763025142,1.66,324.60376306749595,16493.311887160424,0.0010226597163448673,13.987096013228713,1.4931999999999999,394.41811431130105,16460.180882036137,0.0010283323427123972,16.478617665383325
5,1.7249999999999999,489.5099837158549,16189.954415812843,0.003379457462967369,32.113226393165036,2.125,344.8119978244824,16200.230035561042,0.0022590959436584288,17.404295238567173,1.925,386.7818931583525,16220.453082783652,0.001714971231064119,16.498157799666,2.0749999999999997,332.1214866204527,16230.85385333113,0.0016012730032971202,13.996196743035812,1.8664999999999998,400.8174422384588,16225.756699225429,0.001610429189752056,16.50355221747411
6,2.07,494.2218073821427,15975.843833882878,0.0048711266730830155,32.07147326272705,2.55,351.9284544597431,15932.668501849234,0.0032579802827522597,17.386840192456624,2.31,393.346906157613,15978.937916986673,0.0024748398668123445,16.513657390348246,2.4899999999999998,339.5973831481759,15969.102644452176,0.0023107033698053178,14.003568766290261,2.2398,407.1829470504689,15991.883672371638,0.0023243273067654383,16.527036362730346
7,2.415,498.91476477420036,15762.166265716682,0.006636496943748131,32.02644761854482,2.975,359.0077860518396,15665.84481669157,0.004441074132538246,17.366747422577436,2.6950000000000003,399.8770359548061,15738.024698422085,0.0033757350981928167,16.527434823701597,2.905,347.0314526506657,15708.07590761071,0.003151755610888924,14.009149370704726,2.6130999999999998,413.5146287473317,15758.574245754817,0.0031709195823319924,16.549015124324225
8,2.76,503.58885589202794,15548.932753884743,0.00867628216036933,31.978077658406164,3.4,366.04999260077204,15399.78030025391,0.005809129660468283,17.34393904158068,3.08,406.3722825499318,15497.728304956798,0.0044185310244034375,16.53942938647142,3.32,354.42369512792203,15447.792675058163,0.004125225046920185,14.012874861082029,2.9863999999999997,419.81248732904703,15525.841739257397,0.004151095077329778,16.56943250384942
9,3.1049999999999995,508.24408073562535,15336.155006336858,0.010991170780461457,31.926291335642095,3.8249999999999997,373.0550741065402,15134.497936618596,0.0073628751321910815,17.318336705830394,3.465,412.83264594299015,15258.064688143253,0.005604094156187782,16.549579450261433,3.735,361.77411057994476,15188.273473320043,0.005231896555069903,14.014680679336571,3.3596999999999997,426.07652279561495,15293.700409793873,0.0052657383655110145,16.588231547940808
